x generation elapsed_ms log10_p sat one_minus_r2_train one_minus_r2_val one_minus_r2_third
21140 21140 687186 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
21340 21340 693805 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
21540 21540 700343 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
21740 21740 706976 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
21940 21940 713690 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
22140 22140 720253 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
22340 22340 726707 -1.346391441094e1 nan 7.546816959803e-6 7.604734264532e-7 7.484580390155e-3
22540 22540 733364 -1.346391441094e1 nan 7.546816959803e-6 7.604734264532e-7 7.484580390155e-3
22660 22660 737314 -1.348701904651e1 nan 4.799531440058e-7 3.268016601776e-8 7.467500865459e-3
22700 22700 738674 -1.348772408402e1 nan 4.824350979815e-7 2.860897296841e-8 7.467893417925e-3
22900 22900 745482 -1.348772408402e1 nan 4.824350979815e-7 2.860897296841e-8 7.467893417925e-3
22940 22940 746846 -1.348913485567e1 nan 4.818595583655e-7 2.785653663295e-8 7.466508075595e-3
23020 23020 749588 -1.349019377818e1 nan 4.800328952115e-7 2.876781657335e-8 7.465834729374e-3
23060 23060 750949 -1.349125302366e1 nan 4.431110768310e-7 2.214563998848e-8 7.465544156730e-3
23260 23260 757735 -1.349125302366e1 nan 4.431110768310e-7 2.214563998848e-8 7.465544156730e-3
23380 23380 761930 -1.349408122023e1 nan 4.434350273641e-7 2.121554121270e-8 7.465402130038e-3
23580 23580 768790 -1.349408122023e1 nan 4.434350273641e-7 2.121554121270e-8 7.465402130038e-3
23780 23780 775794 -1.349408122023e1 nan 4.434350273641e-7 2.121554121270e-8 7.465402130038e-3
23980 23980 782680 -1.349408122023e1 nan 4.434350273641e-7 2.121554121270e-8 7.465402130038e-3
24180 24180 789601 -1.349408122023e1 nan 4.434350273641e-7 2.121554121270e-8 7.465402130038e-3
24380 24380 796504 -1.349408122023e1 nan 4.434350273641e-7 2.121554121270e-8 7.465402130038e-3
24580 24580 803479 -1.349408122023e1 nan 4.434350273641e-7 2.121554121270e-8 7.465402130038e-3
24780 24780 810587 -1.349408122023e1 nan 4.434350273641e-7 2.121554121270e-8 7.465402130038e-3
24980 24980 817504 -1.349408122023e1 nan 4.434350273641e-7 2.121554121270e-8 7.465402130038e-3
25180 25180 824598 -1.349408122023e1 nan 4.434350273641e-7 2.121554121270e-8 7.465402130038e-3
25380 25380 831636 -1.349408122023e1 nan 4.434350273641e-7 2.121554121270e-8 7.465402130038e-3
25580 25580 838532 -1.349408122023e1 nan 4.434350273641e-7 2.121554121270e-8 7.465402130038e-3
25780 25780 845659 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
25980 25980 852597 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
26180 26180 859539 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
26380 26380 866575 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
26580 26580 873562 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
26780 26780 880682 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
26980 26980 887796 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
27180 27180 894831 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
27380 27380 901920 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
27580 27580 908764 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
27780 27780 915669 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
27980 27980 922672 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
28180 28180 929604 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
28380 28380 936625 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
28580 28580 943539 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
28780 28780 950605 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
